Fiber_ID,x,y,w,h,Length_mm,Diameter_mm,Timestamp
1,928,690,992,43,274.2603985454993,1.2108714820853788,20251111_140724
2,5,491,1150,261,265.85791216867113,0.6573687335795442,20251111_140724
3,0,307,1920,299,364.8651155258741,2.1932935221301655,20251111_140724
1,0,306,1920,300,335.40775728651727,2.226121830419903,20251111_140928
1,0,305,1920,301,337.62154562949706,2.215415675197622,20251111_141110
1,0,305,1920,301,336.37409386473615,2.225952134371183,20251111_141141
1,0,305,1920,300,343.3742793694497,2.1815547867069207,20251111_141904
1,0,306,1920,300,338.0711708304166,2.1988972427557942,20251111_141935
1,0,305,1920,300,337.50374751067454,2.1838706651436937,20251111_142244
1,0,305,1920,301,335.14381111833507,2.2142030461386004,20251111_142315
1,0,305,1920,301,334.2840916342309,2.2137826320550347,20251111_142345
1,0,306,1920,300,339.22646135192747,2.203784218885637,20251111_142416
1,0,305,1920,301,333.7627488939149,2.217430722000722,20251111_142447
1,0,305,1920,301,337.54982815574334,2.202294464625921,20251111_142517
1,0,305,1920,301,332.8457677681666,2.220447290576771,20251111_142548
